2675,Output,Contains the accumulated input layer(s).,Any,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2744,Output: Output math model segment,"Specifies the segment to receive the copied math model. If the segment exists, overwrites the existing segment. If this parameter is not specified, CPMMSEG creates a new segment.",BIN,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,OutputPoints: Centroids: Output file name,Specifies the name of the PCIDSK image file that receives the point layer (centroids) generated from the input layer.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,Output: Output file name,"Specifies the name of the PCIDSK image file to receive the new 8-bit unsigned image channels. If the file does not already exist, it will be created.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,Output: Output file name,"Specifies the name of the PCIDSK image file to receive the new 16-bit unsigned image channels. If the file does not already exist, it will be created.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,Output: Output file name,"Specifies the name of the PCIDSK image file to receive the new 16-bit signed image channels. If the file does not already exist, it will be created.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,Output: Output file name,"Specifies the name of the PCIDSK image file to receive the new 32-bit real image channels. If the file does not already exist, it will be created.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,OutputLayers: Neatline(s): Output neatline(s),Specifies the name of the file that contains the output neatline vector layer(s).,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,OutputB0: Output channel for B0,Specifies the image channel to receive the output B0 image. This should be a 32-bit real image channel.,Raster,Raster,OutputB1: Output channel for B1,Specifies the image channel to receive the output B1 image. This should be a 32-bit real image channel.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752,Output,Specifies the file name for the new OrthoEngine project. The project file will have a .prj file name extension.,String,LiteralData,Output Projection,"Specifies the projection string for the output model parameters and image products, such as ortho images. If this parameter is not specified, the projection of the first image added to the project will be used. Supported values are: UTM mm r Ennn: UTM Easting and Northing coordinates LONG/LAT Ennn: Longitude and Latitude coordinates METER: Units in meters FOOT: Units in feet SPCS: State Place Coordinate System For more information, see TIFF (TIF).",String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,Output,Contains the output thematic raster.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2754,OutputSIG: Output class signature segment,Specifies the output class signature segment (type 121) to receive the modified signature.,SIG,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,Output: Output file,Specifies the name of the file to receive the signature segments created by CSG.,SIG,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2757,Output: Output decorrelated channels,Specifies the image channels to receive the decorrelated results. The number of output channels must be the same or fewer than the specified input channels. Each output channel saves the decorrelated results of the corresponding input channel. Duplicate channels are NOT allowed.,Raster,Raster,Output Raster Type,Specifies the image data type of the output raster channel. Available options are: 8U: 8-bit unsigned 16U: 16-bit unsigned 16S: 16-bit signed (default) 32R: 32-bit real,Text,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2758,Output: Adjusted DEM,The adjusted DEM raster.,Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2759,Output: Vector-polygon layer,,Vec,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2762,Output image channel: Output converted image channel,"Specifies the output channel to receive the converted image. If the input (FILEDEM) and output (FILO) files are the same, and the output channel (DBOC) is identical to the input channel (DBEC) or if the specified output channel already exists, the new output overwrites the specified channel. If FILO does not exist, a new file is created. In this case, DBOC should be defaulted. If FILO points to a valid writable file and DBOC is defaulted, a new output channel is created.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2763,Output,"Specifies the output raster channel to receive converted point layer. If the output file already exists, the output channel must be specified and must already exist. If the output file does not exist, this parameter is ignored. The output channel must be 32-bit real (CHN_32R).",Integer,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2764,Output: Desaturated layers,"The name of the file to which the desaturated imagery will be written. This file will have the same dimensions, projection, and data type as that specified for Input. This file will be created and a file with the same name cannot already exist.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2765,Output: Output estimated favorability map channel,"Specifies the output channel to receive the estimated favorability map (which is scaled to [0, 255]).",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2766,Output: Unique condition region IDs channel,"Specifies the channel to receive the uni-condition region IDs. Because there may be a large number of uni-condition regions, it is strongly recommended that a 16-bit channel be used to hold the IDs. This channel is required by DIEST.",Raster,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767,Output: Output vector segment(s),Specifies the output vector segments to receive the results of the calculation. Up to 64 segments may be specified.,Vector,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
